path	bytes	sha256	category
.zenodo.json	1817	a09dc77073b3cb5c30e047263808662ff511bdebda7adea23bef962016a0efad	package_root_file
CITATION.cff	2051	824dbaafaaa42d88826211c2322152a960498a358003c5c722b3976e7e87661c	package_root_file
FIGURE_PROVENANCE.tsv	14030	8222a1b4d7a0a8c0c96d02da8e5473c912e113d48e7de6f43277d90da6825011	package_root_file
LICENSE	1083	83935fb7cf0ca94d09d7b09ac1a80d10553ed8a50048236bcead9577437b4506	package_root_file
README.md	12100	95cc6472c4dd8e20b640d1de52791e9111879c2eef82129cb48af9975617589f	package_root_file
RUN_REPRODUCTION.md	1917	2513d0e4fa6eb04e26c60b26cc4d5a7ccfe1e0021c2bc5774c5329c30110186e	package_root_file
docs/vendor/_infercnv_src.py	17473	bde17e95d1c35905d48973dad6b12a26489f0a9813f70df1f21660f52e1852ab	documentation
environment/ENVIRONMENT_NOTE.md	1247	9dedb16993b54b6a2279808f8a4fc47c90b313073d49b9da5f733c6a282e1b80	environment_manifest
environment/python_environment_freeze.txt	2005	af438fe23406ca8a0bcc3aba39f3f86c294f879af454b96ac1c0b26734095d2c	environment_manifest
environment/python_version.txt	82	1ac8c41600e92ddaea1e9ace1831a8a2a3c182e6f9358ceecfadd70a1758a3a8	environment_manifest
environment/software_versions_R_sessionInfo.txt	4015	b631923bfbce20a36abadb54b2a963b89826aa62852b52c32eadb9688ae8cff2	environment_manifest
environment/software_versions_bulk_rnaseq.tsv	1362	2f2eaab311f587c755269599c7792248b9a6052ded5d691e78a69faabbba698a	environment_manifest
environment/software_versions_microarray_r.tsv	711	b993873004e6020fb4520d92d878c69583bc40d15f8f9ef8b0929eff1f905ab6	environment_manifest
figures/Fig1.pdf	36606	569045c9fb5c6dc2c69c37386609a46a31d2ddfb80686dc11dd46e843b35085a	figure_assets
figures/Fig1.png	305003	ad9c67daa06e4d9f03118a1088b8f82a9c15e0c129ed908bea1ff1522223ec7c	figure_assets
figures/Fig1.tif	619480	fca66ed50602cbe14b19e5824773dfc56195116e9aa59deeb78489add2a691cc	figure_assets
figures/Fig2.pdf	29670	a41042f0b1abcf9d5a22257f9c39c399eef743a8e3a4be8d08e5d5b335b46433	figure_assets
figures/Fig2.png	276973	aa9c31352f4a2c8ccb7a8e65e214da398edf53a6cb7380b9495c8e6772b78235	figure_assets
figures/Fig2.tif	535456	a78a54f4111f70966a3bd70b5213b2ba9d737001948a171bc122eda6abb90c03	figure_assets
figures/Fig3.pdf	30429	50ea3bcd69d8cb13f6a98d9f0e2921f97bf0a1e2e44f70f8ce9f6c818daefcb5	figure_assets
figures/Fig3.png	452086	ec5c3fcb568907e73096a9730757f7d7b8ce2f1bb67cbc1bb9311d71744973eb	figure_assets
figures/Fig3.tif	1203318	f9d2e4bc2aee69b86fddf86f36cd90a29c6db67e7a98a8468a59232d79a47cc7	figure_assets
figures/Fig4.pdf	36550	c0090330d15c1135ec4d557b400613d7b358be584fb959ebb82876d3c7559fef	figure_assets
figures/Fig4.png	738545	e309e4ff4bebc744d7587acc93219b25215d8fe01bdcb7927afd7963dadc8214	figure_assets
figures/Fig4.tif	1516184	03192ae1b136abc034037d04b3559514ab4be9351ad029ff464a1229960943c2	figure_assets
figures/Fig5.pdf	38492	8a83836c200adec71f26823ffb58e365ed884b0500d150bc5b5a5b64208ce6f5	figure_assets
figures/Fig5.png	835709	d0efe367b29e4c23671b72b6305a2347800063d0bd7da17e33da819e8d519d11	figure_assets
figures/Fig5.tif	1512278	5a9b3ab96835d0aeac57074a5b6a33b066a2743988f43f4e3f215ce23b13872d	figure_assets
